layer,head,margin,perturb,ratio,lock_survival
0,0,1.71,0.18,0.1,1.0
0,1,0.78,0.08,0.11,1.0
0,2,0.44,0.14,0.31,1.0
0,3,0.28,0.1,0.37,1.0
0,4,0.15,0.03,0.2,1.0
0,5,0.58,0.05,0.09,1.0
0,6,0.14,0.05,0.35,1.0
0,7,0.02,0.07,3.18,1.0
0,8,0.58,0.17,0.3,1.0
0,9,0.28,0.08,0.27,1.0
0,10,0.28,0.1,0.36,1.0
0,11,6.05,0.07,0.01,1.0
1,0,0.66,0.23,0.35,0.98
1,1,0.83,0.27,0.32,1.0
1,2,0.52,0.13,0.24,1.0
1,3,0.13,0.15,1.12,0.68
1,4,1.37,0.15,0.11,1.0
1,5,0.39,0.21,0.53,0.84
1,6,0.86,0.2,0.23,1.0
1,7,1.23,0.18,0.15,1.0
1,8,0.12,0.14,1.18,0.8
1,9,0.32,0.16,0.51,0.78
1,10,2.7,0.27,0.1,1.0
1,11,0.46,0.18,0.38,1.0
2,0,0.94,0.21,0.22,1.0
2,1,0.61,0.2,0.32,0.94
2,2,0.94,0.26,0.28,0.94
2,3,2.46,0.23,0.09,1.0
2,4,0.58,0.16,0.27,1.0
2,5,1.87,0.24,0.13,1.0
2,6,1.03,0.21,0.2,0.96
2,7,0.88,0.3,0.34,1.0
2,8,0.12,0.11,0.99,0.94
2,9,1.32,0.39,0.29,1.0
2,10,1.92,0.21,0.11,1.0
2,11,0.73,0.41,0.55,0.8
3,0,0.7,0.22,0.31,1.0
3,1,0.27,0.19,0.71,0.72
3,2,1.93,0.4,0.21,1.0
3,3,4.9,0.51,0.11,1.0
3,4,0.14,0.12,0.87,0.66
3,5,0.82,0.37,0.45,1.0
3,6,0.44,0.14,0.33,0.82
3,7,1.1,0.14,0.13,1.0
3,8,0.35,0.12,0.36,0.96
3,9,1.02,0.31,0.3,0.82
3,10,0.83,0.28,0.34,1.0
3,11,0.61,0.2,0.32,1.0
4,0,1.59,0.23,0.14,0.84
4,1,3.71,0.2,0.05,1.0
4,2,2.2,0.29,0.13,1.0
4,3,0.16,0.22,1.42,0.7
4,4,0.46,0.29,0.64,0.72
4,5,0.98,0.35,0.36,0.88
4,6,6.06,1.92,0.32,1.0
4,7,0.66,0.21,0.32,0.98
4,8,3.28,0.39,0.12,1.0
4,9,0.58,0.25,0.42,1.0
4,10,6.9,1.55,0.22,1.0
4,11,3.81,0.35,0.09,1.0
5,0,5.04,0.43,0.08,1.0
5,1,0.87,0.3,0.35,1.0
5,2,4.73,0.3,0.06,1.0
5,3,0.82,0.26,0.31,0.8
5,4,2.62,0.39,0.15,1.0
5,5,1.01,0.36,0.35,0.98
5,6,11.27,2.13,0.19,1.0
5,7,5.64,0.97,0.17,1.0
5,8,1.17,0.29,0.25,0.92
5,9,3.75,0.41,0.11,1.0
5,10,5.22,0.45,0.09,1.0
5,11,0.63,0.35,0.55,0.9
6,0,0.41,1.47,3.55,0.7
6,1,4.51,0.38,0.08,1.0
6,2,2.89,1.5,0.52,1.0
6,3,0.86,0.82,0.96,0.8
6,4,1.71,0.53,0.31,1.0
6,5,0.56,0.25,0.45,0.82
6,6,1.37,0.44,0.32,1.0
6,7,2.0,0.3,0.15,1.0
6,8,0.69,0.25,0.36,0.96
6,9,5.99,1.3,0.22,1.0
6,10,3.22,0.32,0.1,1.0
6,11,1.47,0.45,0.3,0.98
7,0,1.84,1.22,0.66,0.56
7,1,1.7,1.52,0.9,0.9
7,2,1.09,3.69,3.38,0.38
7,3,1.58,2.85,1.8,0.34
7,4,1.16,1.26,1.08,0.64
7,5,1.04,3.97,3.83,0.14
7,6,3.41,1.75,0.51,0.56
7,7,0.34,0.66,1.93,0.5
7,8,0.56,0.3,0.54,0.76
7,9,2.49,3.81,1.53,0.88
7,10,47.66,8.13,0.17,1.0
7,11,1.58,0.73,0.46,0.84
8,0,6.92,1.33,0.19,1.0
8,1,4.21,3.31,0.79,0.72
8,2,6.2,5.41,0.87,0.96
8,3,5.47,4.69,0.86,0.98
8,4,4.38,6.45,1.47,0.52
8,5,2.62,3.14,1.2,0.58
8,6,3.89,1.46,0.38,0.6
8,7,22.4,2.43,0.11,1.0
8,8,4.48,4.77,1.07,0.74
8,9,2.5,2.79,1.12,0.34
8,10,1.24,4.82,3.88,0.38
8,11,3.65,7.95,2.18,0.64
9,0,5.67,2.63,0.46,0.96
9,1,4.95,5.76,1.16,0.8
9,2,16.66,6.57,0.39,1.0
9,3,2.03,2.77,1.37,0.52
9,4,10.73,8.02,0.75,0.7
9,5,8.91,4.81,0.54,0.6
9,6,7.01,6.89,0.98,0.74
9,7,3.94,7.18,1.82,0.58
9,8,6.26,6.51,1.04,0.7
9,9,8.64,11.75,1.36,0.58
9,10,7.68,1.3,0.17,1.0
9,11,11.6,3.69,0.32,1.0
10,0,22.25,9.04,0.41,0.98
10,1,23.05,12.77,0.55,0.42
10,2,5.11,4.38,0.86,0.44
10,3,6.68,6.21,0.93,0.92
10,4,12.28,8.7,0.71,0.8
10,5,1.89,3.42,1.8,0.16
10,6,33.87,9.74,0.29,1.0
10,7,11.58,10.38,0.9,0.72
10,8,14.52,8.54,0.59,0.78
10,9,0.93,2.28,2.44,0.36
10,10,12.86,7.24,0.56,0.82
10,11,9.13,7.62,0.83,0.64
11,0,10.61,4.16,0.39,0.84
11,1,14.44,14.34,0.99,0.38
11,2,22.41,8.5,0.38,0.98
11,3,33.95,8.67,0.26,1.0
11,4,21.3,12.28,0.58,0.86
11,5,47.97,18.98,0.4,0.92
11,6,7.02,7.85,1.12,0.64
11,7,33.13,11.75,0.35,0.7
11,8,17.72,15.79,0.89,0.78
11,9,14.03,9.35,0.67,0.66
11,10,43.98,14.82,0.34,0.88
11,11,7.39,7.22,0.98,0.48
